cell_id	new_cluster_name
Cell_1187	MG5
Cell_1188	MG1
Cell_1189	MG5
Cell_1190	MG4
Cell_1191	MG1
Cell_1192	MG4
Cell_1193	MG1
Cell_1194	MG1
Cell_1196	MG1
Cell_1197	MG1
Cell_1198	MG2
Cell_1199	MG4
Cell_1200	MG1
Cell_1201	MG3
Cell_1202	MG1
Cell_1203	MG1
Cell_1204	MG5
Cell_1205	MG1
Cell_1206	MG6
Cell_1207	MG3
Cell_1208	MG3
Cell_1209	MG5
Cell_1210	MG2
Cell_1211	MG1
Cell_1212	MG1
Cell_1213	MG3
Cell_1214	MG1
Cell_1215	MG1
Cell_1216	MG1
Cell_1217	MG2
Cell_1218	MG1
Cell_1219	MG2
Cell_1220	MG6
Cell_1221	MG2
Cell_1222	MG1
Cell_1223	MG3
Cell_1224	MG2
Cell_1225	MG6
Cell_1226	MG5
Cell_1227	MG2
Cell_1228	MG1
Cell_1229	MG3
Cell_1230	MG1
Cell_1231	MG5
Cell_1232	MG3
Cell_1233	MG4
Cell_1234	MG1
Cell_1235	MG2
Cell_1236	MG3
Cell_1237	MG5
Cell_1238	MG3
Cell_1239	MG4
Cell_1240	MG1
Cell_1241	MG1
Cell_1242	MG1
Cell_1243	MG1
Cell_1244	MG2
Cell_1245	MG1
Cell_1246	MG1
Cell_1247	MG1
Cell_1248	MG3
Cell_1249	MG1
Cell_1250	MG5
Cell_1251	MG2
Cell_1252	MG1
Cell_1253	MG5
Cell_1254	MG5
Cell_1256	MG3
Cell_1257	MG1
Cell_1258	MG1
Cell_1259	MG1
Cell_1260	MG3
Cell_1261	MG2
Cell_1263	MG5
Cell_1264	MG1
Cell_1265	MG3
Cell_1266	MG1
Cell_1267	MG3
Cell_1268	MG3
Cell_1269	MG1
Cell_1270	MG1
Cell_1271	MG2
Cell_1272	MG1
Cell_1273	MG5
Cell_1274	MG5
Cell_1275	MG2
Cell_1276	MG1
Cell_1277	MG3
Cell_1278	MG1
Cell_1279	MG1
Cell_1280	MG1
Cell_1281	MG1
Cell_1282	MG5
Cell_1283	MG5
Cell_1284	MG5
Cell_1285	MG1
Cell_1286	MG6
Cell_1287	MG1
Cell_1288	MG3
Cell_1289	MG2
Cell_1290	MG1
Cell_1291	MG1
Cell_1292	MG3
Cell_1293	MG1
Cell_1294	MG2
Cell_1296	MG2
Cell_1297	MG5
Cell_1298	MG3
Cell_1299	MG3
Cell_1300	MG1
Cell_1301	MG3
Cell_1302	MG5
Cell_1303	MG1
Cell_1304	MG2
Cell_1305	MG5
Cell_1306	MG5
Cell_1307	MG2
Cell_1308	MG3
Cell_1309	MG1
Cell_1310	MG3
Cell_1311	MG2
Cell_1312	MG5
Cell_1313	MG2
Cell_1314	MG5
Cell_1315	MG6
Cell_1316	MG2
Cell_1317	MG4
Cell_1318	MG2
Cell_1319	MG1
Cell_1320	MG5
Cell_1321	MG2
Cell_1322	MG1
Cell_1323	MG6
Cell_1324	MG1
Cell_1325	MG1
Cell_1326	MG2
Cell_1327	MG1
Cell_1328	MG2
Cell_1329	MG2
Cell_1330	MG1
Cell_1331	MG3
Cell_1332	MG3
Cell_1333	MG3
Cell_1334	MG2
Cell_1335	MG4
Cell_1336	MG1
Cell_1337	MG1
Cell_1338	MG1
Cell_1339	MG1
Cell_1340	MG1
Cell_1341	MG2
Cell_1342	MG1
Cell_1343	MG3
Cell_1344	MG1
Cell_1345	MG1
Cell_1346	MG2
Cell_1347	MG3
Cell_1348	MG1
Cell_1349	MG3
Cell_1350	MG5
Cell_1351	MG4
Cell_1352	MG1
Cell_1353	MG2
Cell_1354	MG3
Cell_1355	MG5
Cell_1356	MG3
Cell_1357	MG3
Cell_1358	MG1
Cell_1359	MG1
Cell_1360	MG1
Cell_1361	MG2
Cell_1362	MG1
Cell_1363	MG1
Cell_1364	MG3
Cell_1365	MG1
Cell_1366	MG3
Cell_1367	MG2
Cell_1368	MG1
Cell_1369	MG4
Cell_1370	MG3
Cell_1371	MG5
Cell_1372	MG4
Cell_1373	MG2
Cell_1374	MG2
Cell_1375	MG1
Cell_1376	MG5
Cell_1377	MG5
Cell_1378	MG5
Cell_1379	MG5
Cell_1380	MG1
Cell_1381	MG8
Cell_1382	MG1
Cell_1383	MG5
